student_name,age,average_mark,gender,phone_number
Virginia Harris,22,9.29,f,7170476576
Maria Benear,28,9.12,m,2512716284
George Leno,30,9.47,m,2386601667
Richard Hamrick,21,8.86,f,5901479519
Tony Engel,21,9.61,f,1355189684
Scott Miller,25,8.95,f,1561644009
Bridget Cotter,29,7.8,m,1319014109
Terry Major,30,8.45,f,6033844080
Maria Boswell,29,8.39,m,6998464338
Ronald Oliver,27,4.15,f,9835734824
Delilah Howard,20,5.64,f,9272771611
Jose Paul,22,5.41,f,9521972460
Francisco Miller,26,8.81,f,6714635834
Josephine Perkins,25,9.58,f,1530787539
Gerald Murray,28,7.04,f,5102794560
Randy Hord,21,,m,5890074086
Janee Bailey,22,6.79,f,4411222680
Martha Pitcher,30,7.6,m,9171031740
Renee Pagan,24,4.62,m,9600491647
Kenneth Rummel,28,6.6,m,2534406642
Doretha Ferguson,30,8.18,f,8455833783
Donald Luevano,24,5.15,m,5035607898
Valerie Mondragon,27,9.54,f,9628248992
Gladys Gomez,19,6.36,m,8511521942
Christin Cross,22,4.4,m,3761455642
Robert Birmingham,22,5.73,f,3216905582
Willie Eskridge,27,6.52,f,9521614270
Josephina Medina,23,10.0,f,2565902390
Burl Navarro,27,7.61,f,5455226527
Lila Hill,29,9.83,m,8515249026
David Roberts,20,9.41,m,2943201192
Travis Rhyne,23,8.16,f,3170373626
Robert Kirkland,21,4.99,m,8917586650
John Torres,24,8.33,f,3184211345
Cindy Nilson,23,8.16,m,4352974810
Steven Lawson,21,4.37,f,7363981712
Sylvia Kuhn,23,8.91,m,6903932664
Richard Crawford,28,7.76,f,3964544530
Fred Maestas,28,5.83,m,8582527978
Janie Waterman,22,8.49,m,4053889089
Paula Morales,28,7.51,m,7361055446
Lawrence Bentson,27,8.47,m,4690049323
Hattie Bramer,18,9.71,f,8481085776
Cynthia Beegle,20,5.79,f,7527491324
Sarah Martindale,26,7.16,m,1088135390
Shawn Bonifacio,26,6.26,m,9971448978
Lena Weston,29,8.01,f,2696785471
Joyce Beatty,23,9.65,f,8894573387
Juan Dunn,22,8.26,f,1117473242
Barry Mckenzie,20,9.63,m,3926175413
Joyce Foley,18,,f,5461020333
Doris Kuck,21,5.73,f,8275335634
Kim Cohran,21,5.0,m,9274320474
Robert Martin,25,7.14,m,3792870221
George Jackson,25,9.67,f,6086595439
David Hayden,19,7.08,m,2643419658
David Barnas,20,4.7,f,4382915215
Amada Duncan,30,9.22,f,7507862933
Kathryn Harryman,28,6.82,m,9452680400
Janette Law,26,7.02,m,3697666607
Tonja Bull,21,5.36,m,3871751991
Alissa Belyoussian,25,6.54,m,4951632361
Lou Bible,26,8.37,f,5939961479
Marc Bibbs,18,6.26,m,3272540774
Arthur Kuhl,18,6.48,f,2473428054
Martha Woods,23,6.83,m,2205967433
Jeffrey Petty,20,6.36,f,2371072844
Harry Dampeer,21,7.81,f,8093556900
Wesley Wolf,18,9.2,m,1415324496
Elizabeth Lowe,28,7.42,f,2989222398
Marvin Silvas,26,6.27,m,3086053155
Donald Hardnett,19,7.21,m,4650519589
Michael Mcdonald,27,9.36,f,7117382608
Edna Mahoney,23,5.24,f,5720806238
Deborah Penn,18,7.98,f,4275998373
Ethel Disher,22,4.28,m,1598503794
Michael Jackson,23,4.31,f,1663947636
Kevin Houston,19,6.53,m,4553855837
Margaret Branstetter,28,6.57,f,5908792570
Billy Henry,27,7.35,f,2649280351
Christopher Mcintire,25,8.54,f,2226067563
Amy Martin,21,7.13,f,7024325621
Stephanie Grose,27,5.11,f,0000000000
Deanna Kathan,30,8.9,f,7748321607
Ann Arteaga,26,8.33,m,9586851860
David Goins,29,6.27,f,2751453133
Paul Alexander,21,5.24,m,1465468557
Robert Parker,18,8.88,m,6513312189
Patricia York,27,6.87,m,3150920530
Donna Baker,21,4.17,f,7283192592
Carla Morris,21,5.92,m,3572330741
John Hubbard,27,6.59,f,1427581425
Oscar Linahan,28,4.68,f,4765609498
David Cain,30,6.75,m,8643653232
Cindy Oconnor,22,4.74,f,6074915286
Nicholas Richter,20,8.21,f,6802212548
Faye Roberge,18,8.49,f,8113443656
Jessica Keenan,21,9.9,m,7123540811
Rebecca Garcia,22,4.22,f,2837337833
Esther Simmering,28,9.31,m,2331178324
Lou Houston,22,9.91,f,3439387543
Rebecca Gillies,19,4.09,f,5684472229
Philip Urbanski,21,8.87,m,4397956199
Teresa Perkins,24,5.85,m,1732627003
Mary Holley,25,6.74,f,3692254134
Tricia Davanzo,19,5.17,m,3603855902
Bridget Mcneal,26,5.46,f,1515556786
Douglas Holland,27,6.25,m,3356507802
Justin Whitmer,22,5.62,f,3785089778
David Davis,18,6.81,f,8124620781
Frances Kerr,27,8.3,m,3319882395
Kim Ellis,24,8.32,f,7919911792
Brian Brown,21,6.25,m,2292542271
Monica Lubrano,22,8.02,m,2462460772
Joyce Skaggs,29,8.43,f,1891806268
Penelope Fries,18,6.81,f,5013755047
Alice Randolph,26,8.1,f,1926668321
Jeffrey Ermitanio,28,9.5,m,1901064305
Stephanie Davis,27,9.36,f,3284176443
John Snow,30,8.67,m,3942605780
Barbara Gott,23,8.69,f,3094925710
Sharon Deleon,19,7.66,f,8108527541
Rigoberto Wilenkin,28,7.71,f,1513578312
Mathew Embree,24,5.97,f,5555294033
Bobby Walker,27,4.85,f,9820371160
Jacqueline Macias,27,8.76,f,6450568019
Benjamin Beck,27,8.8,m,8993127411
Steve Williams,22,6.99,f,8912098676
James Elick,29,9.68,m,4194911925
Elva Diaz,20,7.79,m,5350820614
Terrance Bruce,25,6.96,m,6928278727
Mark Pearson,24,8.49,f,7668430896
Arthur Lowrey,28,8.1,m,6163324911
Scott Lopez,18,4.67,f,1575176356
Hilario Lewis,24,8.95,m,4895740604
Esther Urbancic,18,8.93,m,7860551543
Eric Long,20,4.9,f,5137683205
Matthew Perry,18,4.48,f,6155628751
Lois Alexander,18,5.42,f,2404354182
James Brokaw,28,6.26,f,2458084560
Donald Lewis,27,8.64,m,6905943011
Amanda Gunderson,22,4.73,m,9363449447
Ryan Henricks,29,8.58,f,3836987388
Michelle Mori,25,5.38,m,5488764653
Stacy Erickson,22,5.69,f,3630251473
Kevin Hadley,30,4.64,m,2660106693
Daniel Lopez,23,4.66,f,9365700893
Jose Perez,22,4.53,m,1787903577
Nina Earp,21,9.88,f,6652883862
Richard Stellhorn,21,7.53,m,3184426063
Travis Sanchez,22,5.92,m,3083815656
Earl Anderson,29,4.2,m,6559226638
Antonio Watts,21,7.73,m,1928624991
Katia Cowan,19,7.55,f,8315423249
Michael Routzahn,29,5.97,f,7945914028
Teresa Baridon,26,,m,6502098037
Bertram Eilerman,18,6.18,m,1200529830
Dianne Lucero,22,8.73,f,4801827610
Barbara Fine,28,4.7,f,1451913861
Betty Ferreira,25,6.18,f,6309390935
Charles Jimeson,24,4.34,m,8911988497
Marta Wang,27,4.33,f,8650710587
Travis Stanphill,29,8.21,f,9506425179
John Ashley,24,6.39,m,7960263937
John Merkel,28,7.08,m,6216083537
Josephine Zechman,20,9.64,f,5811179285
Mark Haven,27,8.27,m,8185246853
Carlos London,28,7.19,f,8121435761
Annemarie Keller,30,7.62,f,5904982539
Robert Mccollough,24,5.85,m,4383646111
Harold Slater,21,8.63,m,2936348626
Benjamin Sykes,30,6.9,m,1474036692
Vickie Potter,23,4.77,m,7755298230
Susan Chavis,29,5.89,f,7089030092
Patricia Robinson,18,5.61,m,9154973745
Florence Smith,21,9.62,f,1240285485
Olimpia Connolly,26,6.06,m,8133595468
Robert Stehlik,22,8.79,f,2533088871
Harry Mckenzie,24,4.15,f,7397394925
Kelly Friel,23,4.44,m,7367174995
Therese Butts,29,8.26,f,8687487446
Brian Cole,28,8.75,m,2493462840
Michael Zable,30,5.07,m,3031821803
Otis Bubar,27,6.14,f,4661515224
John Valdez,25,4.97,f,5724654617
Denise Tanner,28,8.19,f,6108703035
Catherine Wagner,30,4.32,m,5900250929
Lorenzo Dayton,22,9.9,f,9172607919
Shelby Martinez,26,5.74,m,4503534380
Nina Berner,25,9.67,f,8887046856
Rachel Bapties,26,8.1,f,5412532497
Wesley Byron,18,8.03,f,5781970929
Gregory Mccollum,30,9.8,f,3278860585
Diane Brady,29,9.86,f,8725649997
Christopher Hahn,21,5.22,f,2736748219
Dennis Rogers,19,4.47,m,2876952373
Gerald Hartley,21,5.9,f,8159797523
Barbara Pagan,23,4.32,m,2470496016
Trevor Hansen,30,6.03,m,8441941406
Pamela Alexander,30,,m,3722098678
Don Smith,28,7.32,f,5503498232
Thomas Hill,26,6.0,m,9689601688
Catina Burgin,29,8.47,f,8228820718
James Moore,23,7.56,f,3058473206
Dorothy Laudat,24,7.63,m,4280895148
Eloise Griner,26,9.36,f,4255361362
Edna Huey,26,7.15,f,3933991488
Cheryl Bennett,24,9.01,f,7218916034
George Woodard,29,7.87,m,2645522781
Louis French,28,7.63,f,2842288667
Ruth Campbell,22,5.99,m,8032407234
Anna Johansson,26,5.47,f,7481477575
Cindy Christiansen,30,6.47,f,5955053753
Buck Buban,23,8.28,m,6742339398
Maria Wolfson,29,9.3,m,5134673020
Joyce Abernathy,21,8.27,f,2813664148
Adam Campbell,20,4.88,m,2429336128
Astrid Denoon,25,6.89,f,3718033316
Vera Mcdaniel,28,6.77,m,6911856214
Teresa Triplett,20,7.02,f,5231226857
Stacy Dingle,27,5.94,f,5103580062
Peter Hutchins,30,4.16,m,9616527375
Emma Garfield,23,4.24,f,1896147457
George Ober,19,9.47,m,6908095723
Linda Estrada,21,6.84,m,2047329022
Jimmy Gee,24,9.77,f,3694724654
Juanita Kimple,26,5.07,f,9733261655
Morris Todd,24,7.88,f,5061250955
Ruth Minor,30,4.32,m,3191759798
Hilda Kofford,29,6.36,f,3060722300
Jennifer Loftus,27,5.67,m,7091741615
Kristy Gilbert,28,6.41,f,5830308599
Juan Wall,22,8.08,f,1022454960
Brandy Crockett,29,5.63,f,8080471611
Stanley Guerrero,27,5.92,f,5023959681
Kelly Baker,18,5.7,f,1257371747
Thomas Phelan,29,4.34,f,6346650184
Sarah Dye,22,7.13,m,8094029768
Denise Myers,22,8.26,f,8347361340
Wallace Lafleur,30,7.25,m,5444857457
Esther Yother,18,9.38,m,1899945275
Nicole Bussman,20,6.86,m,6760133036
Edgar Meacham,24,5.6,f,7381033349
Michael Dorland,27,7.83,m,9739887983
Brenda Baumgartner,25,8.59,f,4852925408
Loretta Bonsall,30,9.93,m,4184133359
Arturo Orange,18,4.08,m,4370660598
Larry Sims,22,7.41,f,4177814538
Christopher Greene,28,4.63,f,4244863657
Teresa Owings,28,9.74,f,2186132916
Linda Herrington,26,5.62,f,9037037280
Dora Hass,28,5.83,m,9135161116
Joan Bodo,27,5.42,m,1472718193
Thomas Steel,21,7.04,f,3973932346
Walter Musick,28,4.47,m,5787047057
Suzy Williams,18,4.62,f,5874798792
Reginald Wilke,20,5.84,m,1339670546
Anthony Gunter,30,4.74,f,3770699809
Carlyn Harris,18,5.63,m,2891327204
Elizabeth Scharf,28,8.47,f,7795287887
Arlinda Kierzewski,26,5.12,m,2718217806
Glenn Herren,24,8.62,m,2671687276
Carolyn Weiss,20,6.36,m,7873714529
Evelyn Curles,24,6.1,m,1085480116
Kenneth Chase,25,6.73,f,8670521924
Sue Carlock,19,6.6,f,2280261982
Terry Chandler,30,5.21,m,3921429798
Margaret Fahnestock,26,7.08,m,8872966898
Terry Dale,18,7.86,f,9134407489
Dorothy Burke,27,5.06,f,9521526582
John Holm,30,9.92,f,6519749026
Frederick Teel,22,8.66,m,3629145826
Randy Wylie,22,4.58,f,5566316737
Charles Miller,18,6.7,f,9279932013
Leslie Johnson,26,6.99,m,4131805290
Charlotte Leftwich,30,7.96,m,3903741325
Donald Colantuono,30,4.91,f,6334596895
Gina Rice,21,7.39,m,3640467833
Ethel Freeman,19,4.38,f,6231793132
Paul Thrasher,19,5.78,f,3443409616
Marci Trimble,21,8.43,m,4119156338
Lenny Castoe,29,4.36,m,3086168687
Melissa Wozniak,20,9.13,m,8444469436
Jan Cunningham,30,8.83,m,9245262659
Daniel Hoobler,23,5.17,f,7405969928
Anna Dixon,21,9.46,m,5884586758
Xavier Bishop,28,6.34,f,7099825953
William Nighman,26,5.07,m,1688389364
Reinaldo Varrone,28,9.89,f,3770176538
Gregory Schick,21,5.9,f,5701949254
Kenneth Water,25,4.68,m,1617413549
Ruby Winkler,24,5.61,f,2770707573
Michael Weaver,21,7.59,m,3200414043
Mark Jewell,21,9.15,m,8915416405
Mary Buchanon,23,4.51,f,6390908574
Michelle Mayhugh,25,6.19,f,4235192775
Edna Avery,28,4.73,f,2793481194
James Jenkins,23,5.79,m,9352063146
Alex Heefner,21,5.12,f,8626215740
Karen Denny,21,4.58,m,1000724312
Matthew Gonzales,22,7.54,f,2287924463
Linda Quella,24,8.31,f,5082711790
Lynn Jones,30,5.8,f,8511342779
Darryl Sutton,30,4.43,f,9955153368
Marietta Ward,28,5.78,f,6828216747
Gregory Knight,18,9.64,f,0000000000
Terri Kelly,26,5.45,m,9769232017
Peter Nevills,23,8.13,f,9784435407
Christopher Ouzts,19,9.8,m,2392498362
Maxine Zirin,20,6.1,m,1194189988
Ruth Young,20,5.34,m,6110379751
David Phillies,30,6.85,f,4406259577
Lisa Sullivan,25,5.55,m,7643735344
David Bourque,25,8.96,f,3714501740
Adrianne Ali,20,6.84,f,6394670868
Ernest Sommerville,27,4.16,m,2750429239
Virginia Price,21,8.39,f,4631387495
Leon Morgan,24,5.34,f,9416911316
William Johnson,25,9.86,f,8226030885
Nicholas Mathes,18,4.47,m,7427929637
Alisa Smith,25,7.21,f,2986993893
Yolanda Mays,27,5.57,m,3966342284
Edith Shaffner,24,5.91,f,5025802761
William Gonzales,30,6.71,f,7317436279
Krista Henley,23,8.14,m,8883655239
Yvonne King,19,6.73,m,7673734832
Laura Hoffmann,29,6.1,f,7895745297
Raymond Brooks,27,9.49,m,8655394560
Arthur Loveless,30,5.47,f,3277236159
Louis Jones,30,5.97,m,3531325086
Sabine Smith,26,7.87,f,8821663281
David Hill,21,8.02,f,6342239620
John Gary,21,6.78,m,7392766370
Johnny Huffman,18,5.98,f,5698516124
Audrey Williams,18,6.78,m,9376310974
Kelly Rodriguez,19,8.71,m,2952943724
Keneth Burch,26,5.8,f,1923120228
Sean Fox,24,7.69,f,2860774101
Jan Leclair,22,8.35,f,1453937009
Eric Feagin,22,8.85,m,6991902960
Armanda Horgan,28,8.4,f,8052461456
Kenneth Joyce,18,9.62,m,9513256556
Maria Breton,22,7.93,f,2392191422
David Parr,21,5.87,f,5925999080
Logan Bartolet,24,7.59,f,5097911445
Hubert Williams,29,6.88,f,1516854011
Linda Foulkes,20,9.25,f,5987752703
Phyllis Thomas,25,9.08,f,1076486217
Lucille Berry,25,8.68,m,4498348274
Frank Beauchesne,24,5.55,f,8118771720
Kathryn Brown,19,6.24,m,5193237292
Marilyn Mathews,29,6.05,m,7404690430
Tim Moscoso,30,8.25,m,3106225043
William Milligan,20,8.15,f,3950758033
Nicholas Hahn,22,7.67,m,8433396833
Melinda Ludgate,19,9.48,f,8488886550
Theodore Yates,27,7.25,m,2928610654
Ester Leis,21,6.43,m,5716184880
Francis Robinson,27,4.19,f,3698471175
Tina Bath,26,8.4,f,8214812551
Mandy Hambric,29,8.22,f,5210406330
Jose Martin,21,4.07,f,5605993688
Helen Shoemake,24,8.07,m,8364538558
Richard Castro,19,4.91,m,3659995794
Willie Lowell,19,9.54,f,1423755857
Jennie Ramlall,21,4.5,m,3164667409
Karen Gavin,26,7.41,f,7279681979
Michael Mckinnon,28,4.23,m,7147761738
Priscilla Roper,20,6.69,f,6664260303
Jonathan Newsome,18,4.97,m,4142696451
Anthony Branch,25,6.3,f,6804892968
Robert Gibson,30,6.59,m,9342629932
Thomas Schade,23,4.16,m,6645483669
Kirby Green,27,7.6,m,6786419800
Brian Edwards,18,4.79,m,9671408409
Debra Flores,21,6.25,f,6588948179
David Macleod,21,9.12,f,7109648899
Lois Nelsen,30,5.88,m,8917392021
Wanda Jones,21,6.75,m,9572835379
Marsha Robinson,18,8.76,f,8963163467
Nicole Jeffries,28,9.94,f,3269962121
Ann Turner,24,6.25,f,7019262725
Agnes Warnock,25,9.38,m,7493834558
Darlene Wertman,21,9.53,f,6758372185
Leo Fleming,27,5.88,f,3162783461
Nicholas Maldonado,26,9.73,m,3456560109
Lanny Mccrary,27,7.31,m,2441909396
Lee Walburn,19,5.99,f,1381241107
Grace Souphom,20,4.33,f,6595003144
Thomas Mason,19,8.88,m,7535449662
Dudley Peterson,23,8.5,m,5753600358
Jennifer Guerrero,27,,f,2755907297
Christopher Rash,23,7.76,f,7059458345
Tracey Kelty,18,7.89,m,9710047249
Patrick Hickman,22,9.87,f,6146336406
Roland Charleston,26,9.45,m,3833146583
Lucia Sherrill,23,8.46,f,5294755465
Barbara Buck,27,8.09,m,9565235663
Warren Pereira,26,6.42,f,2671897338
Heather Peterson,28,6.67,m,1835513317
Jasper Gonzalez,24,6.24,f,1261521651
Diane Stclair,29,4.53,m,4573616827
Dorothy Gosnell,22,7.31,m,4538153488
Charles Childress,24,9.34,f,5143037316
Linda Simmons,23,6.11,f,2601552472
Todd Netterville,29,5.38,m,5108690060
Rebecca Lamb,25,6.83,f,9063804790
Tiffany Erkkila,23,4.52,m,8302755702
Charles Hooper,20,5.09,f,5524058697
Raymond Brickey,19,5.27,m,6770380300
William Sheehan,22,4.54,f,9334149611
Margaret Miller,26,6.83,m,8996746925
Peggy Rael,27,9.0,f,4315462116
Barbara Roy,22,7.19,m,7508612327
Bernice Adams,29,6.98,m,6033782688
Michael Hamel,23,8.97,f,8120472134
Paul Swasey,23,4.92,f,4299248125
Johanna Chavez,28,4.36,m,8541020152
Gloria Gutierrez,29,6.63,f,1800645754
Harry Rusher,27,7.69,m,6797870642
Carlos Mcreynolds,19,6.85,f,2550430621
Susan Peschel,26,9.74,m,3460689336
Margaret Mcguire,19,7.17,f,5967628086
John Peralta,22,9.95,m,8657293427
Barbara Brown,25,4.94,f,5689318693
Dustin Patrick,23,7.01,m,6403300512
Brian Vargas,28,8.21,m,1294038207
Rick Capizzi,25,8.9,f,3484510784
Lisa Palmieri,29,6.59,f,4554046025
Brenda Sumter,24,7.63,m,9855804224
Laverne Radford,23,4.97,f,2670507749
Heather Lish,21,4.08,m,4780741234
Jeffrey Deane,18,5.5,f,2727303328
Valerie Woode,27,7.79,m,1568051977
Benjamin Brown,25,6.53,f,4682029367
Timothy Armstrong,24,6.16,m,8976662604
Krystal Janssen,24,7.73,f,4237432730
Daniel Bell,30,5.16,m,3971462425
George Basil,19,6.28,m,1942718668
Lilian Rocha,26,8.72,f,1376613158
Stanley Jackson,26,5.33,f,6668572724
Christine Franks,30,7.31,m,6682774281
Janelle Vecker,18,7.08,f,1192536959
Grace Robbins,19,5.24,m,5589907348
Joshua Ream,18,8.18,f,3796164489
Georgia Calaf,20,9.18,m,5746055967
Rhonda Leona,29,9.24,f,3448319612
Charles Schueller,28,5.49,m,1605409041
Leonor Adams,26,6.95,f,9019925084
John Bond,28,9.29,m,4268696933
Deirdre Marthe,24,7.48,m,5136725913
Gene Utley,25,9.94,f,3208160557
Lisa Wilson,20,9.13,f,7648178940
Catherine Kim,22,9.36,m,4438724682
Randolph Martin,24,8.77,f,5526907342
Velma Jobe,30,4.22,m,4734443418
Naomi Mendosa,21,4.03,f,6818590622
William Grove,29,7.01,m,1134712902
Sandra Hackney,29,5.68,f,1956933085
Jennifer Higdon,28,9.61,m,5910106973
Tina Tidwell,29,9.4,f,9597070848
Emily Simpson,30,4.06,m,3035571562
Frank Rasmussen,24,4.51,m,2364676498
Lisa Strause,19,6.06,f,2804548894
Donald Skinner,30,4.61,f,2846613901
Robert Jordan,22,8.48,m,4326736791
Enedina Mcneil,24,5.83,f,4264659987
Nathaniel Boyd,18,5.46,m,3177539660
Clyde Huelskamp,25,4.46,f,6387524184
Lorena Harris,22,6.29,m,9893607114
Walter Ham,25,7.2,f,7976614539
Brian Lee,22,8.08,m,4955091482
Jason Page,28,9.64,f,5165985290
Deborah Watt,22,5.58,m,2998614180
Christopher Zupancic,28,5.5,m,8617377739
Helen Perkins,22,7.12,f,2374522808
Nina Aber,23,7.79,f,8410757471
Dwight Johnson,30,4.06,m,1718326104
Allyson Gay,25,8.9,f,9979361611
David Propes,24,7.61,m,3071493745
Sheldon Johnson,29,4.64,f,5192272204
Elana Bergeron,19,7.27,m,1341057325
Lisa Rowe,19,7.85,f,3397102851
William Filmore,18,4.56,m,8901158371
Angela Stultz,24,7.6,f,9417808695
John Collins,26,5.52,m,9347526080
Thomas Meade,25,4.62,m,6752943490
Ann Lorenz,20,9.85,f,8592321990
Delphia Clarke,30,9.3,f,3846151056
Richard Allen,21,4.44,m,6906098713
Amelia Costain,29,6.9,f,4620423710
Anisha Bridges,18,6.99,m,4348127536
Marcus Denson,20,6.42,f,9112227284
Almeda Stamey,25,5.29,m,3128099459
Cindy Chapman,26,6.77,f,0000000000
Jadwiga Truocchio,25,6.37,m,1190278798
Ricky Bergman,18,5.26,f,5780744096
Jennifer Franz,29,4.82,m,2499232346
Brenda Painter,29,8.07,m,7455426068
Robert Hawkins,26,4.92,f,9042844496
Johnny Alvidrez,30,6.61,f,3626135556
Meredith Spears,22,8.29,m,5188114830
Kevin Walton,22,5.85,f,4655359627
Dave White,20,7.53,m,1027422608
Timothy Wagner,24,4.7,f,4163928879
Billie Hodge,29,7.17,m,6779615779
Angela Sangi,21,5.22,f,8556114729
Paula Moore,23,6.74,m,6523438732
Harold Aguilar,19,5.67,f,5867329532
Rocky Brooks,19,6.56,m,8065928425
Rachel Smith,29,9.5,m,2969201417
Barbara Harry,18,4.24,f,6509250324
Vicki Ricker,25,5.95,f,4056887917
Terry Carlyle,19,7.24,m,6306627501
Leslie Hamlin,30,6.67,f,1407138614
Eugene Bunting,20,7.1,m,2765009307
Bryan Hickerson,25,4.02,f,3846920777
Amanda James,19,8.13,m,8995947104
Steven Ball,21,7.25,f,8982295271
George Surratt,26,6.42,m,4538200372
Adriana Johnson,22,7.11,f,7754525835
Rachel Russell,27,6.51,m,5856918824
Rebecca Cully,18,4.83,m,9088131461
Nancy Landrum,29,7.16,f,1235994099
Elizabeth Howard,25,9.4,f,6955840571
Clifford Perkins,18,5.68,m,9435877050
Jonathan Koester,24,4.9,f,8646105133
Dona Chambers,27,9.43,m,2240617956
Sandra Schmiedeskamp,26,7.83,f,5828114788
Viola Bailey,22,5.75,m,9052051834
Joseph Head,24,9.97,f,2842343921
Wesley Bouyer,30,9.94,m,7812394234
Teresa Jones,19,9.99,f,8992687465
Michael Ginn,24,8.54,m,1853653494
Rebecca Imfeld,21,4.34,m,3170049937
Cynthia Tippins,29,7.96,f,5295586577
Inez Johnson,22,7.49,f,5824813778
Beverly Hertzler,18,4.41,m,9144005539
Helen Gloor,21,9.21,f,6583094245
Gail Monahan,21,7.26,m,7623058981
Marla Dodson,20,5.77,f,2323780970
Adele Deemer,22,4.37,m,9040302633
Jim Smith,20,8.18,f,5337490893
Julian Gutierrez,22,4.23,m,1949479163
Anna Payne,29,6.15,f,8347472533
James Pratka,29,4.13,m,6537801128
Sheila Linn,26,9.64,m,9193747349
Delphine Yousef,18,8.84,f,5435773946
Gwendolyn Alvarez,25,4.35,f,6605704963
Howard Holloway,19,9.64,m,6698279832
Harry Hanson,19,7.58,f,2719933925
Bobby Shelton,22,4.72,m,2622402706
Sara Wood,22,5.16,f,8278337743
Michael Toller,29,5.24,m,4206701798
Lisa Glover,18,7.62,f,5503934017
Robert Figueroa,24,6.02,m,2799009428
Margery Turner,21,6.98,f,4246604933
Ladonna Guinyard,23,8.56,m,4147758794
Anthony Sobus,25,9.43,m,2766401127
Patrick Ruiz,28,5.32,f,3481731672
Victor Santiago,20,6.31,f,3827776045
Harry Wages,30,4.19,m,8938411383
Celeste Pope,24,8.33,f,4553390726
Royce Hale,28,8.83,m,5243245921
Marie Powell,21,6.3,f,4346290906
Eva Buske,26,5.29,m,5624065499
Mary Ortiz,26,7.25,f,8136765697
Edward Williams,21,8.56,m,3485626306
William Moore,27,5.99,f,9638896438
Robert Jackson,30,7.9,m,6076211912
Jocelyn Jensen,20,6.64,m,1706913029
Clayton Williams,26,5.82,f,3473896030
Melinda Bass,19,9.45,f,6200777239
Salvador Kinney,18,5.83,m,7220728683
Patrick Rios,27,5.74,f,4089749179
Janice Smith,23,6.43,m,9372950474
Wilhelmina Collins,26,9.55,f,5588226351
Mary Skeesick,25,6.26,m,8892206859
David Diaz,22,9.11,f,5667409661
Maritza Evans,27,9.8,m,8273110335
Samuel Regan,30,8.45,f,1119470053
Richard Madden,24,8.58,m,5010974948
Bertha Boyd,21,6.67,m,6940175600
Travis Gutierrez,19,5.88,f,4037257625
Lisa Bernier,20,7.74,f,4973382016
Willie Keith,24,7.21,m,1326543221
Micheal Scott,21,5.54,f,6408656945
Norma Dixon,19,5.9,m,2737257956
Angel Rhoades,22,6.66,f,2029144148
May Avent,27,4.22,m,9334064242
Thad Banks,25,4.44,f,2740711529
Marlene Leonard,22,5.2,m,6766410107
Cora Fahey,23,7.37,f,7992854148
Bessie Trivedi,26,8.6,m,4501571998
Harold Delgado,30,6.31,m,2300883384
Brenda Jackson,27,,f,1786142982
