age,average_mark,gender,phone_number,first_name,second_name
29,5.89,f,7089030092,Susan,Chavis
18,5.61,m,9154973745,Patricia,Robinson
21,9.62,f,1240285485,Florence,Smith
26,6.06,m,8133595468,Olimpia,Connolly
22,8.79,f,2533088871,Robert,Stehlik
24,4.15,f,7397394925,Harry,Mckenzie
23,4.44,m,7367174995,Kelly,Friel
29,8.26,f,8687487446,Therese,Butts
28,8.75,m,2493462840,Brian,Cole
30,5.07,m,3031821803,Michael,Zable
27,6.14,f,4661515224,Otis,Bubar
25,4.97,f,5724654617,John,Valdez
28,8.19,f,6108703035,Denise,Tanner
30,4.32,m,5900250929,Catherine,Wagner
22,9.9,f,9172607919,Lorenzo,Dayton
26,5.74,m,4503534380,Shelby,Martinez
25,9.67,f,8887046856,Nina,Berner
26,8.1,f,5412532497,Rachel,Bapties
18,8.03,f,5781970929,Wesley,Byron
30,9.8,f,3278860585,Gregory,Mccollum
29,9.86,f,8725649997,Diane,Brady
21,5.22,f,2736748219,Christopher,Hahn
19,4.47,m,2876952373,Dennis,Rogers
21,5.9,f,8159797523,Gerald,Hartley
23,4.32,m,2470496016,Barbara,Pagan
30,6.03,m,8441941406,Trevor,Hansen
28,7.32,f,5503498232,Don,Smith
26,6.0,m,9689601688,Thomas,Hill
29,8.47,f,8228820718,Catina,Burgin
23,7.56,f,3058473206,James,Moore
24,7.63,m,4280895148,Dorothy,Laudat
26,9.36,f,4255361362,Eloise,Griner
26,7.15,f,3933991488,Edna,Huey
24,9.01,f,7218916034,Cheryl,Bennett
29,7.87,m,2645522781,George,Woodard
28,7.63,f,2842288667,Louis,French
22,5.99,m,8032407234,Ruth,Campbell
26,5.47,f,7481477575,Anna,Johansson
30,6.47,f,5955053753,Cindy,Christiansen
23,8.28,m,6742339398,Buck,Buban
29,9.3,m,5134673020,Maria,Wolfson
21,8.27,f,2813664148,Joyce,Abernathy
20,4.88,m,2429336128,Adam,Campbell
25,6.89,f,3718033316,Astrid,Denoon
28,6.77,m,6911856214,Vera,Mcdaniel
20,7.02,f,5231226857,Teresa,Triplett
27,5.94,f,5103580062,Stacy,Dingle
30,4.16,m,9616527375,Peter,Hutchins
23,4.24,f,1896147457,Emma,Garfield
19,9.47,m,6908095723,George,Ober
21,6.84,m,2047329022,Linda,Estrada
24,9.77,f,3694724654,Jimmy,Gee
26,5.07,f,9733261655,Juanita,Kimple
24,7.88,f,5061250955,Morris,Todd
30,4.32,m,3191759798,Ruth,Minor
29,6.36,f,3060722300,Hilda,Kofford
27,5.67,m,7091741615,Jennifer,Loftus
28,6.41,f,5830308599,Kristy,Gilbert
22,8.08,f,1022454960,Juan,Wall
29,5.63,f,8080471611,Brandy,Crockett
27,5.92,f,5023959681,Stanley,Guerrero
18,5.7,f,1257371747,Kelly,Baker
29,4.34,f,6346650184,Thomas,Phelan
22,7.13,m,8094029768,Sarah,Dye
22,8.26,f,8347361340,Denise,Myers
30,7.25,m,5444857457,Wallace,Lafleur
18,9.38,m,1899945275,Esther,Yother
20,6.86,m,6760133036,Nicole,Bussman
24,5.6,f,7381033349,Edgar,Meacham
27,7.83,m,9739887983,Michael,Dorland
25,8.59,f,4852925408,Brenda,Baumgartner
30,9.93,m,4184133359,Loretta,Bonsall
18,4.08,m,4370660598,Arturo,Orange
22,7.41,f,4177814538,Larry,Sims
28,4.63,f,4244863657,Christopher,Greene
28,9.74,f,2186132916,Teresa,Owings
26,5.62,f,9037037280,Linda,Herrington
28,5.83,m,9135161116,Dora,Hass
27,5.42,m,1472718193,Joan,Bodo
21,7.04,f,3973932346,Thomas,Steel
28,4.47,m,5787047057,Walter,Musick
18,4.62,f,5874798792,Suzy,Williams
20,5.84,m,1339670546,Reginald,Wilke
30,4.74,f,3770699809,Anthony,Gunter
18,5.63,m,2891327204,Carlyn,Harris
28,8.47,f,7795287887,Elizabeth,Scharf
26,5.12,m,2718217806,Arlinda,Kierzewski
24,8.62,m,2671687276,Glenn,Herren
20,6.36,m,7873714529,Carolyn,Weiss
24,6.1,m,1085480116,Evelyn,Curles
25,6.73,f,8670521924,Kenneth,Chase
19,6.6,f,2280261982,Sue,Carlock
30,5.21,m,3921429798,Terry,Chandler
26,7.08,m,8872966898,Margaret,Fahnestock
18,7.86,f,9134407489,Terry,Dale
27,5.06,f,9521526582,Dorothy,Burke
30,9.92,f,6519749026,John,Holm
22,8.66,m,3629145826,Frederick,Teel
22,4.58,f,5566316737,Randy,Wylie
18,6.7,f,9279932013,Charles,Miller
26,6.99,m,4131805290,Leslie,Johnson
30,7.96,m,3903741325,Charlotte,Leftwich
30,4.91,f,6334596895,Donald,Colantuono
21,7.39,m,3640467833,Gina,Rice
19,4.38,f,6231793132,Ethel,Freeman
19,5.78,f,3443409616,Paul,Thrasher
21,8.43,m,4119156338,Marci,Trimble
29,4.36,m,3086168687,Lenny,Castoe
20,9.13,m,8444469436,Melissa,Wozniak
30,8.83,m,9245262659,Jan,Cunningham
23,5.17,f,7405969928,Daniel,Hoobler
21,9.46,m,5884586758,Anna,Dixon
28,6.34,f,7099825953,Xavier,Bishop
26,5.07,m,1688389364,William,Nighman
28,9.89,f,3770176538,Reinaldo,Varrone
21,5.9,f,5701949254,Gregory,Schick
25,4.68,m,1617413549,Kenneth,Water
24,5.61,f,2770707573,Ruby,Winkler
21,7.59,m,3200414043,Michael,Weaver
21,9.15,m,8915416405,Mark,Jewell
23,4.51,f,6390908574,Mary,Buchanon
25,6.19,f,4235192775,Michelle,Mayhugh
28,4.73,f,2793481194,Edna,Avery
23,5.79,m,9352063146,James,Jenkins
21,5.12,f,8626215740,Alex,Heefner
21,4.58,m,1000724312,Karen,Denny
22,7.54,f,2287924463,Matthew,Gonzales
24,8.31,f,5082711790,Linda,Quella
30,5.8,f,8511342779,Lynn,Jones
30,4.43,f,9955153368,Darryl,Sutton
28,5.78,f,6828216747,Marietta,Ward
18,9.64,f,0,Gregory,Knight
26,5.45,m,9769232017,Terri,Kelly
23,8.13,f,9784435407,Peter,Nevills
19,9.8,m,2392498362,Christopher,Ouzts
20,6.1,m,1194189988,Maxine,Zirin
20,5.34,m,6110379751,Ruth,Young
30,6.85,f,4406259577,David,Phillies
25,5.55,m,7643735344,Lisa,Sullivan
25,8.96,f,3714501740,David,Bourque
20,6.84,f,6394670868,Adrianne,Ali
27,4.16,m,2750429239,Ernest,Sommerville
21,8.39,f,4631387495,Virginia,Price
24,5.34,f,9416911316,Leon,Morgan
25,9.86,f,8226030885,William,Johnson
18,4.47,m,7427929637,Nicholas,Mathes
25,7.21,f,2986993893,Alisa,Smith
27,5.57,m,3966342284,Yolanda,Mays
24,5.91,f,5025802761,Edith,Shaffner
30,6.71,f,7317436279,William,Gonzales
23,8.14,m,8883655239,Krista,Henley
19,6.73,m,7673734832,Yvonne,King
29,6.1,f,7895745297,Laura,Hoffmann
27,9.49,m,8655394560,Raymond,Brooks
30,5.47,f,3277236159,Arthur,Loveless
30,5.97,m,3531325086,Louis,Jones
26,7.87,f,8821663281,Sabine,Smith
21,8.02,f,6342239620,David,Hill
21,6.78,m,7392766370,John,Gary
18,5.98,f,5698516124,Johnny,Huffman
18,6.78,m,9376310974,Audrey,Williams
19,8.71,m,2952943724,Kelly,Rodriguez
26,5.8,f,1923120228,Keneth,Burch
24,7.69,f,2860774101,Sean,Fox
22,8.35,f,1453937009,Jan,Leclair
22,8.85,m,6991902960,Eric,Feagin
28,8.4,f,8052461456,Armanda,Horgan
18,9.62,m,9513256556,Kenneth,Joyce
22,7.93,f,2392191422,Maria,Breton
21,5.87,f,5925999080,David,Parr
24,7.59,f,5097911445,Logan,Bartolet
29,6.88,f,1516854011,Hubert,Williams
20,9.25,f,5987752703,Linda,Foulkes
25,9.08,f,1076486217,Phyllis,Thomas
25,8.68,m,4498348274,Lucille,Berry
24,5.55,f,8118771720,Frank,Beauchesne
19,6.24,m,5193237292,Kathryn,Brown
29,6.05,m,7404690430,Marilyn,Mathews
30,8.25,m,3106225043,Tim,Moscoso
20,8.15,f,3950758033,William,Milligan
22,7.67,m,8433396833,Nicholas,Hahn
19,9.48,f,8488886550,Melinda,Ludgate
27,7.25,m,2928610654,Theodore,Yates
21,6.43,m,5716184880,Ester,Leis
27,4.19,f,3698471175,Francis,Robinson
26,8.4,f,8214812551,Tina,Bath
29,8.22,f,5210406330,Mandy,Hambric
21,4.07,f,5605993688,Jose,Martin
24,8.07,m,8364538558,Helen,Shoemake
19,4.91,m,3659995794,Richard,Castro
19,9.54,f,1423755857,Willie,Lowell
21,4.5,m,3164667409,Jennie,Ramlall
26,7.41,f,7279681979,Karen,Gavin
28,4.23,m,7147761738,Michael,Mckinnon
20,6.69,f,6664260303,Priscilla,Roper
18,4.97,m,4142696451,Jonathan,Newsome
25,6.3,f,6804892968,Anthony,Branch
30,6.59,m,9342629932,Robert,Gibson
23,4.16,m,6645483669,Thomas,Schade
27,7.6,m,6786419800,Kirby,Green
18,4.79,m,9671408409,Brian,Edwards
21,6.25,f,6588948179,Debra,Flores
21,9.12,f,7109648899,David,Macleod
30,5.88,m,8917392021,Lois,Nelsen
21,6.75,m,9572835379,Wanda,Jones
18,8.76,f,8963163467,Marsha,Robinson
28,9.94,f,3269962121,Nicole,Jeffries
24,6.25,f,7019262725,Ann,Turner
25,9.38,m,7493834558,Agnes,Warnock
21,9.53,f,6758372185,Darlene,Wertman
27,5.88,f,3162783461,Leo,Fleming
26,9.73,m,3456560109,Nicholas,Maldonado
27,7.31,m,2441909396,Lanny,Mccrary
19,5.99,f,1381241107,Lee,Walburn
20,4.33,f,6595003144,Grace,Souphom
19,8.88,m,7535449662,Thomas,Mason
23,8.5,m,5753600358,Dudley,Peterson
23,7.76,f,7059458345,Christopher,Rash
18,7.89,m,9710047249,Tracey,Kelty
22,9.87,f,6146336406,Patrick,Hickman
26,9.45,m,3833146583,Roland,Charleston
23,8.46,f,5294755465,Lucia,Sherrill
27,8.09,m,9565235663,Barbara,Buck
26,6.42,f,2671897338,Warren,Pereira
28,6.67,m,1835513317,Heather,Peterson
24,6.24,f,1261521651,Jasper,Gonzalez
29,4.53,m,4573616827,Diane,Stclair
22,7.31,m,4538153488,Dorothy,Gosnell
24,9.34,f,5143037316,Charles,Childress
23,6.11,f,2601552472,Linda,Simmons
29,5.38,m,5108690060,Todd,Netterville
25,6.83,f,9063804790,Rebecca,Lamb
23,4.52,m,8302755702,Tiffany,Erkkila
20,5.09,f,5524058697,Charles,Hooper
19,5.27,m,6770380300,Raymond,Brickey
22,4.54,f,9334149611,William,Sheehan
26,6.83,m,8996746925,Margaret,Miller
27,9.0,f,4315462116,Peggy,Rael
22,7.19,m,7508612327,Barbara,Roy
29,6.98,m,6033782688,Bernice,Adams
23,8.97,f,8120472134,Michael,Hamel
23,4.92,f,4299248125,Paul,Swasey
28,4.36,m,8541020152,Johanna,Chavez
29,6.63,f,1800645754,Gloria,Gutierrez
27,7.69,m,6797870642,Harry,Rusher
19,6.85,f,2550430621,Carlos,Mcreynolds
26,9.74,m,3460689336,Susan,Peschel
19,7.17,f,5967628086,Margaret,Mcguire
22,9.95,m,8657293427,John,Peralta
25,4.94,f,5689318693,Barbara,Brown
23,7.01,m,6403300512,Dustin,Patrick
28,8.21,m,1294038207,Brian,Vargas
25,8.9,f,3484510784,Rick,Capizzi
29,6.59,f,4554046025,Lisa,Palmieri
24,7.63,m,9855804224,Brenda,Sumter
23,4.97,f,2670507749,Laverne,Radford
21,4.08,m,4780741234,Heather,Lish
18,5.5,f,2727303328,Jeffrey,Deane
27,7.79,m,1568051977,Valerie,Woode
25,6.53,f,4682029367,Benjamin,Brown
24,6.16,m,8976662604,Timothy,Armstrong
24,7.73,f,4237432730,Krystal,Janssen
30,5.16,m,3971462425,Daniel,Bell
19,6.28,m,1942718668,George,Basil
26,8.72,f,1376613158,Lilian,Rocha
26,5.33,f,6668572724,Stanley,Jackson
30,7.31,m,6682774281,Christine,Franks
18,7.08,f,1192536959,Janelle,Vecker
19,5.24,m,5589907348,Grace,Robbins
18,8.18,f,3796164489,Joshua,Ream
20,9.18,m,5746055967,Georgia,Calaf
29,9.24,f,3448319612,Rhonda,Leona
28,5.49,m,1605409041,Charles,Schueller
26,6.95,f,9019925084,Leonor,Adams
28,9.29,m,4268696933,John,Bond
24,7.48,m,5136725913,Deirdre,Marthe
25,9.94,f,3208160557,Gene,Utley
20,9.13,f,7648178940,Lisa,Wilson
22,9.36,m,4438724682,Catherine,Kim
24,8.77,f,5526907342,Randolph,Martin
30,4.22,m,4734443418,Velma,Jobe
21,4.03,f,6818590622,Naomi,Mendosa
29,7.01,m,1134712902,William,Grove
29,5.68,f,1956933085,Sandra,Hackney
28,9.61,m,5910106973,Jennifer,Higdon
29,9.4,f,9597070848,Tina,Tidwell
30,4.06,m,3035571562,Emily,Simpson
24,4.51,m,2364676498,Frank,Rasmussen
19,6.06,f,2804548894,Lisa,Strause
30,4.61,f,2846613901,Donald,Skinner
22,8.48,m,4326736791,Robert,Jordan
24,5.83,f,4264659987,Enedina,Mcneil
18,5.46,m,3177539660,Nathaniel,Boyd
25,4.46,f,6387524184,Clyde,Huelskamp
22,6.29,m,9893607114,Lorena,Harris
25,7.2,f,7976614539,Walter,Ham
22,8.08,m,4955091482,Brian,Lee
28,9.64,f,5165985290,Jason,Page
22,5.58,m,2998614180,Deborah,Watt
28,5.5,m,8617377739,Christopher,Zupancic
22,7.12,f,2374522808,Helen,Perkins
23,7.79,f,8410757471,Nina,Aber
30,4.06,m,1718326104,Dwight,Johnson
25,8.9,f,9979361611,Allyson,Gay
24,7.61,m,3071493745,David,Propes
29,4.64,f,5192272204,Sheldon,Johnson
19,7.27,m,1341057325,Elana,Bergeron
19,7.85,f,3397102851,Lisa,Rowe
18,4.56,m,8901158371,William,Filmore
24,7.6,f,9417808695,Angela,Stultz
26,5.52,m,9347526080,John,Collins
25,4.62,m,6752943490,Thomas,Meade
20,9.85,f,8592321990,Ann,Lorenz
30,9.3,f,3846151056,Delphia,Clarke
21,4.44,m,6906098713,Richard,Allen
29,6.9,f,4620423710,Amelia,Costain
18,6.99,m,4348127536,Anisha,Bridges
20,6.42,f,9112227284,Marcus,Denson
25,5.29,m,3128099459,Almeda,Stamey
26,6.77,f,0,Cindy,Chapman
25,6.37,m,1190278798,Jadwiga,Truocchio
18,5.26,f,5780744096,Ricky,Bergman
29,4.82,m,2499232346,Jennifer,Franz
29,8.07,m,7455426068,Brenda,Painter
26,4.92,f,9042844496,Robert,Hawkins
30,6.61,f,3626135556,Johnny,Alvidrez
22,8.29,m,5188114830,Meredith,Spears
22,5.85,f,4655359627,Kevin,Walton
20,7.53,m,1027422608,Dave,White
24,4.7,f,4163928879,Timothy,Wagner
29,7.17,m,6779615779,Billie,Hodge
21,5.22,f,8556114729,Angela,Sangi
23,6.74,m,6523438732,Paula,Moore
19,5.67,f,5867329532,Harold,Aguilar
19,6.56,m,8065928425,Rocky,Brooks
29,9.5,m,2969201417,Rachel,Smith
18,4.24,f,6509250324,Barbara,Harry
25,5.95,f,4056887917,Vicki,Ricker
19,7.24,m,6306627501,Terry,Carlyle
30,6.67,f,1407138614,Leslie,Hamlin
20,7.1,m,2765009307,Eugene,Bunting
25,4.02,f,3846920777,Bryan,Hickerson
19,8.13,m,8995947104,Amanda,James
21,7.25,f,8982295271,Steven,Ball
26,6.42,m,4538200372,George,Surratt
22,7.11,f,7754525835,Adriana,Johnson
27,6.51,m,5856918824,Rachel,Russell
18,4.83,m,9088131461,Rebecca,Cully
29,7.16,f,1235994099,Nancy,Landrum
25,9.4,f,6955840571,Elizabeth,Howard
18,5.68,m,9435877050,Clifford,Perkins
24,4.9,f,8646105133,Jonathan,Koester
27,9.43,m,2240617956,Dona,Chambers
26,7.83,f,5828114788,Sandra,Schmiedeskamp
22,5.75,m,9052051834,Viola,Bailey
24,9.97,f,2842343921,Joseph,Head
30,9.94,m,7812394234,Wesley,Bouyer
19,9.99,f,8992687465,Teresa,Jones
24,8.54,m,1853653494,Michael,Ginn
21,4.34,m,3170049937,Rebecca,Imfeld
29,7.96,f,5295586577,Cynthia,Tippins
22,7.49,f,5824813778,Inez,Johnson
18,4.41,m,9144005539,Beverly,Hertzler
21,9.21,f,6583094245,Helen,Gloor
21,7.26,m,7623058981,Gail,Monahan
20,5.77,f,2323780970,Marla,Dodson
22,4.37,m,9040302633,Adele,Deemer
20,8.18,f,5337490893,Jim,Smith
22,4.23,m,1949479163,Julian,Gutierrez
29,6.15,f,8347472533,Anna,Payne
29,4.13,m,6537801128,James,Pratka
26,9.64,m,9193747349,Sheila,Linn
18,8.84,f,5435773946,Delphine,Yousef
25,4.35,f,6605704963,Gwendolyn,Alvarez
19,9.64,m,6698279832,Howard,Holloway
19,7.58,f,2719933925,Harry,Hanson
22,4.72,m,2622402706,Bobby,Shelton
22,5.16,f,8278337743,Sara,Wood
29,5.24,m,4206701798,Michael,Toller
18,7.62,f,5503934017,Lisa,Glover
24,6.02,m,2799009428,Robert,Figueroa
21,6.98,f,4246604933,Margery,Turner
23,8.56,m,4147758794,Ladonna,Guinyard
25,9.43,m,2766401127,Anthony,Sobus
28,5.32,f,3481731672,Patrick,Ruiz
20,6.31,f,3827776045,Victor,Santiago
30,4.19,m,8938411383,Harry,Wages
24,8.33,f,4553390726,Celeste,Pope
28,8.83,m,5243245921,Royce,Hale
21,6.3,f,4346290906,Marie,Powell
26,5.29,m,5624065499,Eva,Buske
26,7.25,f,8136765697,Mary,Ortiz
21,8.56,m,3485626306,Edward,Williams
27,5.99,f,9638896438,William,Moore
30,7.9,m,6076211912,Robert,Jackson
20,6.64,m,1706913029,Jocelyn,Jensen
